"EFSA_Food_Desc","FoodDB_Food_Name"
"Salsifies","Angelica"
"Turnips","Angelica"
"Alfalfa sprouts","Alfalfa"
"Garden cress sprouts","Garden cress"
"Mung bean sprouts","Mung bean"
"Soyabeans sprouts","Brussel sprouts"
"Sprouts, shoots and similar","Pea shoots"
"Asparagus","Asparagus"
"Bamboo shoots","Bamboo shoots"
"Celeries","Angelica"
"Florence fennels","Angelica"
"Globe artichokes","Globe artichoke"
"Kohlrabies","Angelica"
"Leeks","Angelica"
"Liquid drink bases (including concentrates and home-made preparations)","Soft drink"
"Carbonated bottled drinking water","Water"
"Still bottled drinking water","Water"
"Bottled water","Water"
"Flavoured bottled water","Water"
"Carbonated natural mineral water","Water"
"Still natural mineral water","Water"
"Drinking water","Water"
"Filtered tap water","Water"
"Ice from tap water","Water"
"Tap water","Water"
"Unbottled water","Water"
"Energy drinks","Energy drink"
"Functional drinks","Angelica"
"Isotonic and sport drinks","Fats and oils"
"Cola beverages, caffeinic","Beverages"
"Diet soft drink with caffeine","Soft drink"
"Cola beverages, decaffeinated","Beverages"
"Cola mix, flavoured cola","Trail mix"
"Diet soft drinks with flavours","Soft drink"
"Soft drink with bitter principle","Soft drink"
"Soft drink, cherry flavour","Soft drink"
"Soft drink, flavoured with herbs","Soft drink"
"Soft drink, flavoured, no fruit","Soft drink"
"Soft drink, lemon flavour","Soft drink"
"Soft drink, lime flavour","Lime"
"Soft drink, mango flavour","Mango"
"Soft drink, mixed flavours","Soft drink"
"Soft drink, orange flavour","Soft drink"
"Diet soft drinks with fruit juice","Fruit juice"
"Fruit soft drink, currant red","Soft drink"
"Fruit soft drink, mixed fruit","Soft drink"
"Fruit soft drink, orange","Soft drink"
"Soft drink, with fruit juice (fruit content below the minimum for nectars)","Fruit juice"
"Dark ale beer","Beer"
"Beer, alcohol-free","Beer"
"Herb liqueur","Angelica"
"Fortified and liqueur wines","Fortified wine"
"Wine","White wine"
"Wine, red","Red wine"
"Wine, white","White wine"
"Animal fats and oils (processed fat from animal tissue)","Other animal fat"
"Beef tallow (including processed suet)","Tallow"
"Pork lard","Lard"
"Olive oil, virgin or extra-virgin","Olive oil"
"Olive oils","Olive"
"Coconut oil/fat","Coconut oil"
"Palm oil/fat","Oil palm"
"Wheat germ oil","Wheat"
"Grape seed oil","Grape"
"Peanut oil, edible","Peanut oil"
"Rape seed oil, edible","Rape"
"Sesame seed oil, edible","Sesame oil"
"Soya bean oil, refined","Bean"
"Sunflower seed oil, edible","Sunflower oil"
"Walnut oil","Walnut"
"Vegetable fats and oils, edible","Fats and oils"
"Blended fat and oils","Fats and oils"
"Blended frying oil/fats","Fats and oils"
"Butter and margarine/oil blends","Margarine"
"Butter","Butter"
"Blended margarine","Margarine"
"Functional vegetable margarines/fats","Fats and oils"
"Traditional margarine","Margarine"
"Coffee (average strength) beverage","Coffee"
"Coffee beverage decaffeinated","Coffee"
"Coffee drink, cappuccino","Coffee"
"Chicory coffee infusion","Chicory"
"Fruit infusion","Fruit juice"
"Herbal and other non-tea infusions","Herbal tea"
"Peppermint infusion","Peppermint"
"Rooibos infusion","Angelica"
"Fermented tea infusion","Tea"
"Non-fermented tea, infusion","Tea"
"Tea beverages","Beverages"
"Tea infusion with added flavouring ingredients","Tea"
"Cocoa powder","Cocoa powder"
"Cocoa beverage-preparation, powder","Cocoa powder"
"Chips/crisps","Angelica"
"Corn chips","Corn"
"Potato crisps or sticks","Potato"
"Snacks other than chips and similar","Other bread"
"Other desserts spoonable","Other bread"
"Boiled eggs","Eggs"
"Fried eggs","Eggs"
"Hardened egg products","Egg roll"
"Poached eggs","Eggs"
"Hen egg mixed whole","Whole wheat bread"
"Hen egg white","White bread"
"Hen egg yolk","Egg yolk"
"Hen eggs","Eggs"
"Snails","Angelica"
"Crustaceans","Crustaceans"
"Freshwater crayfishes","Freshwater eel"
"Prawn, northern","Northern pike"
"Shrimps and prawns","Fats and oils"
"Shrimps, common","Common wheat"
"White shrimp","Shrimp"
"Atlantic salmon","Atlantic salmon"
"Salmons","Angelica"
"Smelt","Smelt"
"Trouts","Angelica"
"Fish (meat)","Fish oil"
"Pangas catfishes","Angelica"
"Nile perch","Pacific ocean perch"
"Tilapias and similar","Fats and oils"
"Cod","Atlantic cod"
"Coalfish","Coalfish pollock"
"Pollack","Angelica"
"Halibut","Atlantic halibut"
"Plaice","Pleuronectidae (Dab, Halibut, Plaice)"
"Sole","Lemon sole"
"Yellowfin sole","Yellowfin tuna"
"Marine fish","Marine mussel"
"Sea bream","Carp bream"
"Sea catfishes","Sea trout"
"Ocean perch","Pacific ocean perch"
"Tuna","Albacore tuna"
"Canned anchovies","Angelica"
"Canned herring","Atlantic herring"
"Canned salmon","Atlantic salmon"
"Canned tunas and similar","Fats and oils"
"Canned/jarred fish","Fish oil"
"Marinated / pickled fish","Fish oil"
"Salt-preserved fish","Salt"
"Smoked fish","Fish oil"
"Smoked salmon","Atlantic salmon"
"Fish fingers, breaded","Fish oil"
"Fish paste or surimi","Fish oil"
"Structured/textured fish meat products or fish paste","Fish oil"
"Canned seafood","Angelica"
"Marinated / pickled seafood","Angelica"
"Mussels","Angelica"
"Oysters","Angelica"
"Scallops, pectens","Angelica"
"Squids","Angelica"
"Follow-on formula, soya-based, liquid","Angelica"
"Special food for children's growth","Baby food"
"Berries and small fruits","Fruits"
"Blueberries","Angelica"
"Raspberries (red and yellow)","Red rice"
"Blackcurrants","Angelica"
"Currants (black, red and white)","Black tea"
"Kiwiberries","Angelica"
"Table grapes","Angelica"
"Strawberries","Angelica"
"Citrus fruits","Citrus"
"Grapefruits","Angelica"
"Lemons","Angelica"
"Mandarins","Angelica"
"Oranges","Angelica"
"Oranges, sweet","Sweet potato"
"Fruit used as fruit","Fruit juice"
"Dates","Angelica"
"Kaki","Angelica"
"Table olives","Angelica"
"Avocados","Angelica"
"Common banana","Banana"
"Plantains","Angelica"
"Granate apples","Angelica"
"Mangoes","Angelica"
"Pineapples","Angelica"
"Fuzzy kiwifruit","Angelica"
"Golden kiwifruit","Angelica"
"Kiwi fruits (green, red, yellow)","Kiwi"
"Litchis","Angelica"
"Longans","Angelica"
"Passionfruits","Angelica"
"Apples","Angelica"
"Pears","Angelica"
"Apricots","Angelica"
"Cherries (sweet)","Sweet potato"
"Sour cherries","Sour cream"
"Common peaches","Common wheat"
"Nectarines","Angelica"
"Plums","Angelica"
"Dried apples","Dried milk"
"Dried apricots","Dried milk"
"Dried figs","Dried milk"
"Dried fruit","Dried milk"
"Dried prunes","Dried milk"
"Dried vine fruits (raisins etc.)","Fruits"
"Compote of fruit / vegetables","Green vegetables"
"Fruit compote, apple","Apple"
"Fruit compote, mixed fruit","Fruit juice"
"Jam of fruit / vegetables","Green vegetables"
"Jam, apricots","Angelica"
"Jam, blackberries","Angelica"
"Jam, blueberries","Angelica"
"Jam, currants (red)","Red rice"
"Jam, mixed fruit","Fruit juice"
"Jam, oranges","Angelica"
"Jam, peaches","Angelica"
"Jam, plums","Angelica"
"Jam, raspberries","Angelica"
"Jam, strawberries","Angelica"
"Jam, sweet cherry","Sweet cherry"
"Marmalade","Angelica"
"Candied fruits","Fruits"
"Canned or jarred apricot","Apricot"
"Canned fruit cocktail","Cocktail"
"Canned or jarred peach","Peach"
"Canned or jarred pear","Pear"
"Canned or jarred pineapple","Pineapple"
"Canned or jarred sour cherry","Sour cherry"
"Citrus fruit peel","Citrus"
"Table olives ready for consumption","Angelica"
"Juice concentrate, blueberry","Highbush blueberry"
"Coconut milk (cocos nucifera) liquid","Coconut milk"
"Fruit juices (100% from named source)","Fruit juice"
"Juice, apple","Apple"
"Juice, citrus","Citrus"
"Juice, grape","White grape juice"
"Juice, grapefruit","Grapefruit"
"Juice, lemon","Lemon"
"Juice, lime","Lime"
"Juice, mango","Mango"
"Juice, orange","Sweet orange"
"Juice, pear","Pear"
"Juice, pineapple","Pineapple"
"Juice, apple-cherry","Apple"
"Juice, apricot-orange","Apricot"
"Juice, mixed fruit","Fruit juice"
"Mixed fruit juice","Fruit juice"
"Fruit nectars (min. 25-50% fruit as defined in EU legislation)","Fruit juice"
"Mixed fruit nectars","Fruit juice"
"Nectar, apricot","Apricot"
"Nectar, pineapple","Pineapple"
"Multivitamin juices","Angelica"
"Juice, tomato","Cherry tomato"
"Juice, multi-vegetable","Vegetable juice"
"Breadcrumbs","Angelica"
"Croutons","Angelica"
"Gluten free bread","Wheat bread"
"Sticks, salty","Angelica"
"Crisp bread","Crisp bread"
"Puffed rice textured bread","Rice bread"
"Bread and rolls with special ingredients added","Wheat bread"
"Leavened bread and similar","Wheat bread"
"Mixed wheat and rye bread and rolls","Rye bread"
"Rye-wheat bread and rolls, wholemeal","Rye bread"
"Multigrain (not only rye-wheat) bread and rolls","Multigrain bread"
"Rye only bread and rolls","Rye bread"
"Sandwich bread (hamburger roll-type)","Hamburger"
"Wheat bread and rolls","Wheat bread"
"Wheat bread and rolls, brown or wholemeal","Wheat bread"
"Wheat bread and rolls, semi-brown","Wheat bread"
"Wheat bread and rolls, white (refined flour)","White bread"
"Wheat bread and rolls, white with maize","White bread"
"Wheat bread and rolls, white with soya","White bread"
"Rusk","Angelica"
"Rusk, refined flour","Flour"
"Rusk, wholemeal","Angelica"
"Pizza base, cooked","Pizza"
"Pita bread","Pita bread"
"Tortilla","Tortilla"
"Porridge (ready to eat)","Angelica"
"Porridge milk based (ready to eat)","Milk and milk products"
"Cereal bars","Breakfast cereal"
"Cereal bars mixed","Breakfast cereal"
"Mixed breakfast cereals","Breakfast cereal"
"Muesli plain","Plain cream cheese"
"Cereal flakes and similar","Cereals and cereal products"
"Processed mixed cereal-based flakes","Processed cheese"
"Processed wheat-based flakes","Wheat"
"Popcorn (maize, popped)","Popcorn"
"Popped cereals","Cereals and cereal products"
"Rice, popped","Rice"
"Cereal and cereal-like flours","Breakfast cereal"
"Flour mix (like wheat/rye/barley/oats and other)","Barley"
"Maize flour","Flour"
"Spelt flour, wholemeal","Spelt"
"Wheat flour","Flour"
"Wheat flour white","Flour"
"Wheat flour, brown","Flour"
"Wheat wholemeal flour","Flour"
"Oat bran","Oat"
"Buckwheat","Common buckwheat"
"Quinoa grain","Quinoa"
"Maize grain","Angelica"
"Rice grain","Rice"
"Rice grain, brown","Rice"
"Rice grain, mixed","Rice"
"Common wheat grain","Common wheat"
"Bulgur","Bulgur"
"Maize semolina","Semolina"
"Semolina","Semolina"
"Biscuit with inclusions, filling or coating","Biscuit"
"Wafers","Angelica"
"Biscuits, chocolate","Chocolate"
"Biscuits, oat meal","Oat"
"Biscuits, spelt meal","Spelt"
"Biscuits, sweet, plain","Plain cream cheese"
"Biscuits, sweet, wheat wholemeal","Wheat"
"Butter biscuits","Butter"
"Speculaas","Angelica"
"Cakes","Angelica"
"Cake marbled, with chocolate","Cake"
"Chocolate cake","Cake"
"Chocolate cake with fruits","Fruits"
"Chocolate-based cakes","Chocolate"
"Cheese cake","Cake"
"Cream cake","Cake"
"Cream custard sponge cake","Sweet custard"
"Fruit cake","Cake"
"Muffins","Angelica"
"Plain cakes","Plain cream cheese"
"Baumkuchen and similar","Fats and oils"
"Sponge cake","Cake"
"Choux pastry","Pastry"
"Éclair","Angelica"
"Gougere","Angelica"
"Pastry based on laminated dough","Dough"
"Flan tart","Angelica"
"Fruit pie-tarts","Pie"
"Marzipan pie","Marzipan"
"Shortcrust (pies -tarts)","Angelica"
"Macaroons","Angelica"
"Meringue","Meringue"
"Pancakes","Angelica"
"Gingerbread","Angelica"
"Various pastry","Pastry"
"Waffles","Angelica"
"Brioche type products","Cereals and cereal products"
"Croissant","Angelica"
"Croissant, filled with chocolate","Chocolate"
"Croissant, filled with cream","Cream"
"Croissant, filled with jam","Angelica"
"Doughnuts-berliner","Angelica"
"Dried stuffed durum pasta","Pasta"
"Dried stuffed pasta","Pasta"
"Fresh stuffed pasta","Pasta"
"Asian-style noodles other than glass noodles","Asian pear"
"Couscous","Couscous"
"Gnocchi","Angelica"
"Noodle, rice","Rice"
"Dried pasta","Pasta"
"Fresh pasta","Pasta"
"Pasta, plain (not stuffed), uncooked","Pasta"
"Laminated doughs","Angelica"
"French pie pastry dough","Pie"
"Short pastry dough (pate brisee)","Pate"
"Yeast bread – pizza dough","Pizza"
"Flageolet (fresh seeds)","Angelica"
"Broad beans (without pods)","Broad bean"
"Garden peas (without pods)","Garden tomato"
"Borlotti or other common beans (dry)","Common wheat"
"Flageolets (dry seeds)","Angelica"
"Kidney bean (dry seeds)","Bean"
"Navy beans (dry seeds)","Baked beans"
"Broad beans (dry)","Broad bean"
"Soyabeans for consumption (dry)","Angelica"
"Lentils (dry)","Lentils"
"Chickpeas (dry)","Angelica"
"Garden peas (dry)","Garden tomato"
"Oilseeds","Angelica"
"Peanuts","Angelica"
"Pumpkin seeds","Japanese pumpkin"
"Sesame seeds","Sesame"
"Sunflower seeds","Sunflower"
"Almonds","Angelica"
"Cashew nuts","Nuts"
"Chestnuts","Angelica"
"Coconuts","Angelica"
"Hazelnuts","Angelica"
"Macadamias","Angelica"
"Pecans","Angelica"
"Pine nut kernels","Pine nut"
"Pistachios","Angelica"
"Tree nuts","Nuts"
"Walnuts","Angelica"
"Canned or jarred chickpea","Chickpea"
"Canned or jarred common beans","Common wheat"
"Canned or jarred legumes","Unclassified food or beverage"
"Canned or jarred lentils","Lentils"
"Canned or jarred peas","Unclassified food or beverage"
"Dried nuts/seeds and related flours and powders","Nuts"
"Nut/seeds paste/emulsion/mass","Cashew nut"
"Peanut butter","Peanut"
"Sesame paste (tahini) (sesamus indicum)","Sesame"
"Capers buds","Capers"
"Basil, dry","Sweet basil"
"Dried herbs","Herbs and Spices"
"Allspice fruit","Allspice"
"Ginger roots","Ginger"
"Coriander seed","Coriander"
"Cumin seed","Cumin"
"Thickener","Angelica"
"Gelatine","Angelica"
"Maltodextrin","Angelica"
"Baking yeast","Angelica"
"Yeast cultures","Angelica"
"Potato starch","Potato"
"Tapioca starch","Tapioca pearl"
"Chicken kidney","Chicken"
"Turkey meat, dried","Turkey"
"Canned meat","Meat bouillon"
"Chicken fresh meat","Chicken"
"Chicken, minced meat","Chicken"
"Duck fresh meat","Mallard duck"
"Guinea-fowl fresh meat","Guinea hen"
"Turkey fresh meat","Turkey"
"Mammals and birds meat","Milk (Other mammals)"
"Bovine and pig fresh meat","Domestic pig"
"Bovine and pig, minced meat","Domestic pig"
"Bovine, minced meat","Meat bouillon"
"Calf fresh meat","Meat bouillon"
"Cow, ox or bull fresh meat","Milk (Cow)"
"Deer fresh meat","Deer"
"Horse fresh meat","Horse"
"Pig fresh meat","Domestic pig"
"Pig minced meat","Domestic pig"
"Rabbit fresh meat","Rabbit"
"Lamb fresh meat","Sheep (Mutton, Lamb)"
"Sheep (adult) fresh meat","Sheep (Mutton, Lamb)"
"Sheep, minced meat","Sheep (Mutton, Lamb)"
"Marinated meat","Meat bouillon"
"Liver based spreadable-textured specialities","Angelica"
"Pate, chicken liver","Pate"
"Pate, goose liver","Pate"
"Pate, pork liver","Pate"
"Meat specialties","Meat bouillon"
"Cooked cured (or seasoned) bovine meat","Meat bouillon"
"Cooked cured (or seasoned) meat","Meat bouillon"
"Cooked cured (or seasoned) pork meat","Meat bouillon"
"Cooked cured (or seasoned) poultry meat","Meat bouillon"
"Cooked turkey meat","Turkey"
"Corned turkey","Turkey"
"Processed whole meat products","Whole wheat bread"
"Bacon","Angelica"
"Corned pork, uncooked","Angelica"
"Cured seasoned pork meat","Meat bouillon"
"Ham, pork","Angelica"
"Pancetta","Angelica"
"Corned turkey, uncooked","Turkey"
"Cured seasoned poultry meat","Meat bouillon"
"Raw cured (or seasoned) meat","Meat bouillon"
"Chipolata-type sausage","Sausage"
"Cooked sausages (generic)","Angelica"
"Cured ripened raw sausages","Angelica"
"Chorizo and similar","Fats and oils"
"Salami-type sausage","Sausage"
"Cervelat (swiss type)","Swiss cheese"
"Frankfurt-type sausage","Sausage"
"Wiener sausage","Sausage"
"Knackwurst-type sausage","Sausage"
"Pre-cooked sausages to be cooked before consumption","Angelica"
"Blood-type sausage","Sausage"
"Cooked salami","Angelica"
"Mortadella-type sausage","Sausage"
"Polish-type cooked sausage","Sausage"
"Sliceable or firm cooked sausages","Unclassified food or beverage"
"Liver-type sausage","Sausage"
"Sausages","Angelica"
"Cheese, feta","Greek feta cheese"
"Cheese","Cheese"
"Cheese, chevre frais","Cheese"
"Cottage cheese","Cottage cheese"
"Cream cheese","Cream"
"Fresh uncured cheese","Cheese"
"Mascarpone","Angelica"
"Mozzarella","Mozzarella cheese"
"Quark","Angelica"
"Ricotta","Angelica"
"Processed cheese, spreadable","Processed cheese"
"Cheese, grana padano","Cheese"
"Cheese, pecorino romano","Cheese"
"Extra hard cheese (parmesan, grana type)","Parmesan cheese"
"Firm - ripened cheeses","Angelica"
"Cheese, buche de chevre","Cheese"
"Cheese, livarot","Cheese"
"Cheese, reblochon","Cheese"
"Cheese, gorgonzola","Cheese"
"Cheese, roquefort","Cheese"
"Cheese, appenzeller","Cheese"
"Cheese, chimay","Cheese"
"Cheese, edam","Cheese"
"Cheese, gouda","Cheese"
"Cheese, maasdam","Cheese"
"Cheese, passendale","Cheese"
"Cheese, provolone","Cheese"
"Cheese, raclette","Cheese"
"Cheese, tete de moine","Cheese"
"Cheese, tomme de savoie","Cheese"
"Firm/semi-hard cheese (gouda and edam type)","Hard wheat"
"Cheese, cheddar","Cheddar Cheese"
"Cheese, emmental","Cheese"
"Cheese, gruyere","Cheese"
"Hard cheese (cheddar, emmental type)","Cheddar Cheese"
"Soft-ripened cheese veined with blue mould (blue bavarian, blue de graven type )","Blue cheese"
"Cheese, brie","Cheese"
"Cheese, camembert","Cheese"
"Soft-ripened cheese with bloomy rind (white mould) (brie, camembert type)","Cheese"
"Cheese, fleur de maquis","Cheese"
"Soft-ripened cheese with natural rind and other soft-ripened cheeses","Soft drink"
"Cheese, taleggio","Cheese"
"Soft-ripened washed-rind cheese (limburger type)","Cheese"
"Custard","Sweet custard"
"Dairy desserts spoonable","Angelica"
"Starchy pudding","Pudding"
"Dairy ice creams and similar","Ice cream"
"Frozen yoghurt","Other frozen dessert"
"Ice cream, milk-based","Ice cream"
"Milkshakes","Angelica"
"Dairy snacks","Angelica"
"Probiotic milk-like drinks","Milk and milk products"
"Kefir","Kefir"
"Yoghurt, cow milk, flavoured","Milk (Cow)"
"Yoghurt, cow milk, plain","Milk (Cow)"
"Yoghurt, goat milk, plain","Domestic goat"
"Yoghurt, sheep milk, plain","Milk and milk products"
"Yoghurt drinks, including sweetened and/or flavoured variants","Fats and oils"
"Sour cream, plain","Sour cream"
"Condensed milk (sometimes with added sugars)","Condensed milk"
"Cream powder","Cream"
"Milk powder","Milk and milk products"
"Milk powder, full fat","Milk and milk products"
"Buttermilk","Buttermilk"
"Cream, plain","Plain cream cheese"
"Cow milk","Milk (Cow)"
"Cow milk, semi skimmed (half fat)","Milk (Cow)"
"Cow milk, skimmed (low fat)","Milk (Cow)"
"Cow milk, whole","Milk (Cow)"
"Flavoured milks","Angelica"
"Bee-produced formulations","Angelica"
"Enzyme-based formulations","Angelica"
"Fiber supplements","Angelica"
"Formulations containing special fatty acids (e.g. Omega-3, essential fatty acids)","Angelica"
"Herbal formulations and plant extracts","Herbal tea"
"Probiotic or prebiotic formulations","Unclassified food or beverage"
"Mixed supplements/formulations","Mixed nuts"
"Combination of vitamin and mineral only supplements","Cow milk, pasteurized, vitamin A + D added, 0% fat"
"Mineral only supplements","Angelica"
"Vitamin only supplements","Cow milk, pasteurized, vitamin A + D added, 0% fat"
"Imitation cream","Cream"
"Soya yoghurt","Angelica"
"Tofu","Tofu"
"Almond drink","Almond"
"Oats drink","Soft drink"
"Rice drink","Rice"
"Soya drink","Soft drink"
"Spelt drink","Spelt"
"Fungi-based meat imitates","Meat bouillon"
"Meat imitates","Meat bouillon"
"Soyabean-based meat imitates","Meat bouillon"
"Tomato chutney","Cherry tomato"
"Salad dressing","Salad dressing"
"Salad dressing, low fat","Salad dressing"
"Alcoholic sauce","Alcoholic beverages"
"Barbecue or steak sauces","Unclassified food or beverage"
"Continental european brown cooked sauce, gravy","Sauce"
"Curry sauce","Curry powder"
"Herbs, vegetables and oil sauces","Herbs and Spices"
"Herbs/spices sauces","Herbs and Spices"
"Pesto","Angelica"
"Hollandaise type sauce","Sauce"
"Mayonnaise sauce","Sauce"
"Mayonnaise, low fat","Other animal fat"
"Tartar sauce","Sauce"
"Meat sauce","Sauce"
"Mustard and related sauces","Mustard"
"Fish sauce","Sauce"
"Oyster sauce","Oyster mushroom"
"Sauces from fermented/hydrolised sources and similar","Other fermented milk"
"Soy sauce","Soy sauce"
"Sweet and sour sauce","Sauce"
"Savoury sauces","Angelica"
"Tomato ketchup and related sauces","Ketchup"
"Tomato-containing cooked sauces","Cherry tomato"
"Mushrooms cooked sauce","Mushrooms"
"Vegetables-based cooked sauce","Sauce"
"Bechamel sauce","Sauce"
"Butter sauce","Butter"
"Cheese sauce","Sauce"
"Cream sauce","Sauce"
"White sauces","White bread"
"Vinegar","Vinegar"
"Dessert sauces/toppings","Dessert wine"
"Fruit sauce","Sauce"
"Stock cubes or granulate (bouillon base)","Meat bouillon"
"Stock cubes or granulate, chicken","Chicken"
"Stock cubes or granulate, meat","Meat bouillon"
"Stock cubes or granulate, vegetables","Green vegetables"
"Yeast extract","Angelica"
"Salt","Salt"
"Salt, iodised","Salt"
"Seasoning mixes","Angelica"
"Dried potato products","Potato"
"Mashed potato powder","Potato"
"Potato flakes","Potato"
"Potato flour","Potato"
"Potatoes","Angelica"
"Cassava roots","Cassava"
"Sweet potatoes","Sweet potato"
"Yams","Angelica"
"Basic sweet masses","Sweet potato"
"Caramel, soft","Soft drink"
"Macaroon mass","Angelica"
"Truffle mass","Angelica"
"Candies (soft and hard)","Hard wheat"
"Hard candies","Hard wheat"
"Chewing gum","Chewing gum"
"Foamed sugar products (marshmallows)","Sugar"
"Gum drops","Fruit gum"
"Jelly candies","Angelica"
"Liquorice candies","Liquorice"
"Soft candies and analogues","Soft drink"
"Bitter chocolate","Chocolate"
"Bitter-sweet chocolate","Chocolate"
"Chocolate and similar","Chocolate"
"Milk chocolate","Chocolate"
"White chocolate","Chocolate"
"Chocolate coated confectionery","Chocolate"
"Chocolate spread","Chocolate spread"
"Chocolate/cocoa-based products","Cocoa and cocoa products"
"Filled chocolate","Chocolate"
"Pralines","Angelica"
"Caramel, hard","Hard wheat"
"Marzipan","Marzipan"
"Nougat","Nougat"
"Sugar cotton","Sugar"
"Sweet bars and other formed sweet masses","Sweet potato"
"Toffee","Toffee"
"Honey","Honey"
"Glucose","Angelica"
"Brown beet sugar","Common beet"
"Brown cane sugar","Sugar"
"Brown sugar","Sugar"
"Sucrose (common sugar)","Sugar"
"Refined cane sugar","Sugar"
"White sugar","Sugar"
"Sugar cane molasses","Molasses"
"Sugar beet syrup","Syrup"
"Syrups","Angelica"
"Table-top sweeteners formulations","Angelica"
"Table-top sweeteners in powder form","Cocoa powder"
"Sorbet","Angelica"
"Water-based ice creams","Water"
"Laver","Purple laver"
"Garlic","Garlic"
"Onions","Angelica"
"Silverskin onions","Angelica"
"Shallots","Angelica"
"Spring onions","Angelica"
"Broccoli","Broccoli"
"Cauliflowers","Angelica"
"Flowering brassica","Angelica"
"Courgettes","Angelica"
"Cucumbers","Angelica"
"Gherkins","Angelica"
"Melons","Angelica"
"Pumpkins","Angelica"
"Watermelons","Angelica"
"Fruiting vegetables","Green vegetables"
"Aubergines","Angelica"
"Chili peppers","Chili"
"Sweet peppers","Sweet potato"
"Cherry tomatoes","Sweet cherry"
"Tomatoes","Angelica"
"Sweet corn","Corn"
"Common mushrooms","Mushrooms"
"Pearl oyster mushrooms","Mushrooms"
"Shiitake","Shiitake"
"Fungi","Angelica"
"Ceps","Angelica"
"Basil","Sweet basil"
"Chervil","Chervil"
"Chives","Chives"
"Parsley","Parsley"
"Brussels sprouts","Brussel sprouts"
"Red cabbages","Red rice"
"Savoy cabbages","Savoy cabbage"
"White cabbage","White cabbage"
"Chinese cabbages","Chinese mustard"
"Pak-choi","Pak choy"
"Curly kales","Angelica"
"Leafy vegetables","Green vegetables"
"Curly endives","Angelica"
"Lamb's lettuces","Sheep (Mutton, Lamb)"
"Crisp lettuces","Crisp bread"
"Cutting lettuces","Angelica"
"Head lettuces","Angelica"
"Lettuces (generic)","Angelica"
"Lettuces and similar-","Fats and oils"
"Roman rocket","Rocket salad"
"Chards","Angelica"
"Spinaches","Angelica"
"Watercresses","Angelica"
"Witloofs","Angelica"
"French beans (with pods)","French plantain"
"Lima beans (with pods)","Lima bean"
"Runner beans (with pods)","Baked beans"
"Podded pea (young pods)","Common pea"
"Canned mushrooms","Mushrooms"
"Canned/jarred vegetables","Green vegetables"
"French beans canned","French plantain"
"Sweet corn canned","Corn"
"Dried mushrooms","Mushrooms"
"Dried vegetables","Dried milk"
"Sauerkraut","Angelica"
"Pickled / marinated vegetables","Green vegetables"
"Tomato paste","Cherry tomato"
"Preserved tomato, whole or pieces","Whole wheat bread"
"Tomato puree","Cherry tomato"
"Sun-dried tomatoes","Dried milk"
"Vegetable puree or paste","Vegetable juice"
"Beetroots","Angelica"
"Baby carrots","Baby food"
"Carrots","Angelica"
"Celeriacs","Angelica"
"Jerusalem artichokes","Jerusalem artichoke"
"Parsnip roots","Parsnip"
"Daikon","Daikon radish"
"Radishes","Angelica"
"Salsifies","Angelica"
"Turnips","Angelica"
"Alfalfa sprouts","Alfalfa"
"Garden cress sprouts","Garden cress"
"Mung bean sprouts","Mung bean"
"Soyabeans sprouts","Brussel sprouts"
"Asparagus","Asparagus"
"Celeries","Angelica"
"Florence fennels","Angelica"
"Globe artichokes","Globe artichoke"
"Kohlrabies","Angelica"
"Leeks","Angelica"
"Liquid drink bases (including concentrates and home-made preparations)","Soft drink"
"Carbonated bottled drinking water","Water"
"Still bottled drinking water","Water"
"Bottled water","Water"
"Flavoured bottled water","Water"
"Carbonated natural mineral water","Water"
"Still natural mineral water","Water"
"Drinking water","Water"
"Filtered tap water","Water"
"Ice from tap water","Water"
"Tap water","Water"
"Unbottled water","Water"
"Energy drinks","Energy drink"
"Isotonic and sport drinks","Fats and oils"
"Cola beverages, caffeinic","Beverages"
"Diet soft drink with caffeine","Soft drink"
"Cola beverages, decaffeinated","Beverages"
"Cola mix, flavoured cola","Trail mix"
"Diet soft drinks with flavours","Soft drink"
"Soft drink, apple flavour","Soft drink"
"Soft drink, flavoured with herbs","Soft drink"
"Soft drink, flavoured, no fruit","Soft drink"
"Soft drink, lemon flavour","Soft drink"
"Soft drink, mixed flavours","Soft drink"
"Soft drink, orange flavour","Soft drink"
"Diet soft drinks with fruit juice","Fruit juice"
"Fruit soft drink, mixed fruit","Soft drink"
"Fruit soft drink, orange","Soft drink"
"Fruit soft drink, peach","Soft drink"
"Soft drink, with fruit juice (fruit content below the minimum for nectars)","Fruit juice"
"Beer, regular","Beer"
"Vodka and vodka-like spirits","Vodka"
"Raisin wine","Raisin bread"
"Wine, white","White wine"
"Cider","Apple cider"
"Fish oil","Fish oil"
"Pork lard","Lard"
"Ghee","Angelica"
"Olive oil, virgin or extra-virgin","Olive oil"
"Coconut oil/fat","Coconut oil"
"Grape seed oil","Grape"
"Rape seed oil, edible","Rape"
"Sunflower seed oil, edible","Sunflower oil"
"Blended frying oil/fats","Fats and oils"
"Butter","Butter"
"Functional vegetable margarines/fats","Fats and oils"
"Traditional margarine","Margarine"
"Cocoa beverages","Beverages"
"Hot chocolate","Hot chocolate"
"Coffee (strong) beverage","Coffee"
"Coffee (weak strength) beverage","Coffee"
"Coffee beverage decaffeinated","Coffee"
"Coffee espresso (beverage)","Coffee"
"Coffee drink, cappuccino","Coffee"
